MORA60;Edad;Ingreso_Mensual;Max_Calif;Nivel_Educativo;Situacion_Casa
1;31;785.14;0;PROFESIONAL;FAMILIAR
0;34;10000;0;PROFESIONAL;PROPIA
1;37;2200;0;PROFESIONAL;PROPIA
1;20;690;0;TECNICO;FAMILIAR
1;21;10000;0;TECNICO;FAMILIAR
1;21;1500;0;PROFESIONAL;FAMILIAR
1;23;4500;0;PROFESIONAL;FAMILIAR
1;23;839.11;1;SUPERIOR;FAMILIAR
1;23;3800;2;PROFESIONAL;FAMILIAR
0;24;2800;0;SUPERIOR;FAMILIAR
1;24;1150;2;TECNICO;FAMILIAR
1;24;815.52;1;TECNICO;FAMILIAR
1;24;620;3;TECNICO;FAMILIAR
1;24;6500;0;PROFESIONAL;PROPIA
0;25;1424.68;0;TECNICO;FAMILIAR
0;25;3000;0;TECNICO;FAMILIAR
0;25;2976.68;0;PROFESIONAL;FAMILIAR
0;25;1783.21;0;TECNICO;FAMILIAR
1;25;1175;0;TECNICO;FAMILIAR
1;25;2258.01;0;PROFESIONAL;FAMILIAR
1;25;5600;0;TECNICO;FAMILIAR
0;26;4380.68;1;TECNICO;FAMILIAR
0;26;1092.33;1;TECNICO;FAMILIAR
1;26;929.12;0;TECNICO;FAMILIAR
1;26;1367.51;0;PROFESIONAL;FAMILIAR
1;26;1000;0;TECNICO;FAMILIAR
0;27;7230.88;0;TECNICO;FAMILIAR
0;27;3606;0;PROFESIONAL;FAMILIAR
1;27;2000;0;PROFESIONAL;FAMILIAR
1;27;930;0;PROFESIONAL;FAMILIAR
0;28;2500;0;PROFESIONAL;FAMILIAR
0;28;2100;0;SUPERIOR;FAMILIAR
1;28;4000;1;PROFESIONAL;FAMILIAR
1;28;1400;0;TECNICO;FAMILIAR
1;28;1103.88;0;PROFESIONAL;FAMILIAR
1;28;1950;0;SUPERIOR;FAMILIAR
1;28;2354.08;0;TECNICO;FAMILIAR
0;29;1793.44;0;TECNICO;FAMILIAR
0;29;3000;0;PROFESIONAL;FAMILIAR
1;29;2400;2;TECNICO;FAMILIAR
1;29;2500;0;SUPERIOR;FAMILIAR
1;29;4000;1;TECNICO;FAMILIAR
1;29;1094.19;0;TECNICO;FAMILIAR
1;29;3000;0;TECNICO;FAMILIAR
1;29;2000;0;SUPERIOR;ALQUILADA
0;30;5000;1;PROFESIONAL;PROPIA
0;30;2141.04;0;PROFESIONAL;FAMILIAR
0;30;2635.07;0;PROFESIONAL;FAMILIAR
0;30;3500;0;PROFESIONAL;PROPIA
1;30;3500;0;TECNICO;PROPIA
1;30;2400;0;TECNICO;FAMILIAR
1;30;850;3;PROFESIONAL;FAMILIAR
1;30;3000;0;PROFESIONAL;FAMILIAR
